urls,problem_texts,constraints,input_texts,output_texts,tag
https://atcoder.jp/contests/abc186/tasks/abc186_a,"
Problem StatementWe have a truck, which can carry at most N kilograms.
We will load bricks onto this truck, each of which weighs W kilograms. At most how many bricks can be loaded?
","
Constraints
1\leq N,W \leq 1000
N and W are integers.

","
InputInput is given from Standard Input in the following format:
N W

","
OutputPrint an integer representing the maximum number of bricks that can be loaded onto the truck.
",Easy
https://atcoder.jp/contests/abc184/tasks/abc184_a,"
Problem StatementGiven is a 2 \times 2 matrix A = \begin{bmatrix} a & b \\ c & d \end{bmatrix}.
The determinant of A can be found as ad-bc.
Find it.
","
Constraints
All values in input are integers.
-100 \le a, b, c, d \le 100

","
InputInput is given from Standard Input in the following format:
a b
c d

","
OutputPrint the answer as an integer.
",Easy
https://atcoder.jp/contests/abc183/tasks/abc183_a,"
Problem StatementThe function ReLU is defined as follows:


Given an integer x, find ReLU(x).
","
Constraints
x is an integer.
 -10 \leq x \leq 10

","
InputInput is given from Standard Input in the following format:
x

","
OutputPrint the answer as an integer.
",Easy
https://atcoder.jp/contests/abc185/tasks/abc185_a,"
Problem StatementTakahashi has decided to hold some number of programming contests.
Holding one contest requires one 100-point problem, one 200-point problem, one 300-point problem, and one 400-point problem.
When he has A_1, A_2, A_3, and A_4 drafts of 100-, 200-, 300-, and 400-point problems, respectively, at most how many contests can he hold?
The same draft can be used only once.
","
Constraints
1 \le A_i \le 100 (1 \le i \le 4)
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
A_1 \hspace{7pt} A_2 \hspace{7pt} A_3 \hspace{7pt} A_4

","
OutputPrint an integer representing the maximum number of contests that can be held.  
",Easy
https://atcoder.jp/contests/abc174/tasks/abc174_a,"
Problem StatementYou will turn on the air conditioner if, and only if, the temperature of the room is 30 degrees Celsius or above.
The current temperature of the room is X degrees Celsius. Will you turn on the air conditioner?
","
Constraints
-40 \leq X \leq 40
X is an integer.

","
InputInput is given from Standard Input in the following format:
X

","
OutputPrint Yes if you will turn on the air conditioner; print No otherwise.
",Easy
https://atcoder.jp/contests/abc192/tasks/abc192_a,"
Problem StatementTakahashi is playing a game.
In this game, each time the number of coins you have collected so far becomes a multiple of 100, you get a prize.
Takahashi has collected X coins so far. How many more coins does he need to collect before he gets the next prize? (If X is a multiple of 100, we assume that he has already got the prize for collecting X coins in total.)
","
Constraints
0 \leq X \leq 10^5

","
InputInput is given from Standard Input in the following format:
X

","
OutputPrint the number of additional coins that he needs to collect before he gets the next prize.
",Easy
https://atcoder.jp/contests/abc172/tasks/abc172_a,"
Problem StatementGiven an integer a as input, print the value a + a^2 + a^3.
","
Constraints
1 \leq a \leq 10
a is an integer.

","
InputInput is given from Standard Input in the following format:
a

","
OutputPrint the value a + a^2 + a^3 as an integer.
",Easy
https://atcoder.jp/contests/abc169/tasks/abc169_a,"
Problem StatementCompute A \times B.
","
Constraints
1 \leq A \leq 100
1 \leq B \leq 100
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the value A \times B as an integer.
",Easy
https://atcoder.jp/contests/abc178/tasks/abc178_a,"
Problem StatementGiven is an integer x that is greater than or equal to 0, and less than or equal to 1.
Output 1 if x is equal to 0, or 0 if x is equal to 1.
","
Constraints
0 \leq x \leq 1
x is an integer

","
InputInput is given from Standard Input in the following format:
x

","
OutputPrint 1 if x is equal to 0, or 0 if x is equal to 1.
",Easy
https://atcoder.jp/contests/abc156/tasks/abc156_a,"
Problem StatementTakahashi is a member of a programming competition site, ButCoder.
Each member of ButCoder is assigned two values: Inner Rating and Displayed Rating.
The Displayed Rating of a member is equal to their Inner Rating if the member has participated in 10 or more contests. Otherwise, the Displayed Rating will be their Inner Rating minus 100 \times (10 - K) when the member has participated in K contests.
Takahashi has participated in N contests, and his Displayed Rating is R. Find his Inner Rating.
","
Constraints
All values in input are integers.
1 \leq N \leq 100
0 \leq R \leq 4111

","
InputInput is given from Standard Input in the following format:
N R

","
OutputPrint his Inner Rating.
",Easy
https://atcoder.jp/contests/abc181/tasks/abc181_a,"
Problem StatementTakahashi is wearing white now.
He wears black on the day after he wears white, and he wears white on the day after he wears black.
What color will he wear N days later?
","
Constraints
N is an integer.
1 \leq N \leq 30

","
InputInput is given from Standard Input in the following format:
N

","
OutputIf he will wear white N days later, print White; if he will wear black, print Black.
",Easy
https://atcoder.jp/contests/abc188/tasks/abc188_a,"
Problem StatementA basketball game is being played, and the score is now X-Y. Here, it is guaranteed that X \neq Y.
Can the team which is behind turn the tables with a successful three-point goal?
In other words, if the team which is behind earns three points, will its score become strictly greater than that of the other team?  
","
Constraints
0 \le X \le 100
0 \le Y \le 100
X \neq Y
X and Y are integers.

","
InputInput is given from Standard Input in the following format:
X Y

","
OutputIf the team which is behind can turn the tables with a successful three-point goal, print Yes; otherwise, print No.
",Easy
https://atcoder.jp/contests/abc187/tasks/abc187_a,"
Problem StatementFor an integer n, let S(n) be the sum of digits in the decimal notation of n. For example, we have S(123) = 1 + 2 + 3 = 6.
Given two 3-digit integers A and B, find the greater of S(A) and S(B).
","
Constraints
All values in input are integers.
100 \le A, B \le 999

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the value of the greater of S(A) and S(B).
If these are equal, print S(A).
",Easy
https://atcoder.jp/contests/abc180/tasks/abc180_a,"
Problem StatementWe have removed A balls from a box that contained N balls and then put B new balls into that box. How many balls does the box contain now?
","
Constraints
All values in input are integers.
 100 \leq N \leq 200
 1 \leq A,B \leq 100

","
InputInput is given from Standard Input in the following format:
N A B

","
OutputPrint the answer as an integer.
",Easy
https://atcoder.jp/contests/abc164/tasks/abc164_a,"
Problem StatementThere are S sheep and W wolves.
If the number of wolves is greater than or equal to that of sheep, the wolves will attack the sheep.
If the wolves will attack the sheep, print unsafe; otherwise, print safe.
","
Constraints
1 \leq S \leq 100
1 \leq W \leq 100

","
InputInput is given from Standard Input in the following format:
S W

","
OutputIf the wolves will attack the sheep, print unsafe; otherwise, print safe.
",Easy
